Time,Temperature,Voltage,Current,RPM
09:00,61.04,417.18,9.13,1447
09:01,51.81,411.37,9.12,1450
09:02,72.78,416.78,7.97,1427
09:03,70.67,418.29,8.13,1406
09:04,77.27,417.43,9.67,1409
09:05,66.5,415.4,9.66,1450
09:06,58.18,414.75,9.62,1460
09:07,71.17,416.29,9.95,1483
09:08,57.59,412.33,7.64,1458
09:09,67.35,411.19,8.04,1419
09:10,62.29,417.07,7.18,1455
09:11,63.78,412.77,9.91,1453
09:12,62.64,418.88,8.57,1407
09:13,54.36,417.01,8.3,1455
09:14,55.8,413.64,7.71,1420
09:15,62.65,415.03,8.07,1451
09:16,71.72,417.79,7.23,1433
09:17,75.04,410.13,9.23,1428
09:18,64.82,412.62,9.91,1441
09:19,63.48,412.48,7.86,1468
09:20,50.85,416.97,9.74,1482
09:21,59.83,418.0,7.71,1460
09:22,71.1,419.96,8.44,1469
09:23,50.1,410.75,8.13,1404
09:24,72.25,410.42,7.98,1429
09:25,58.63,414.72,8.13,1483
09:26,70.55,410.0,7.65,1492
09:27,80.0,414.33,9.52,1499
09:28,63.96,413.81,9.4,1489
09:29,79.36,414.11,8.37,1489
09:30,57.48,414.55,8.65,1477
09:31,68.09,418.96,7.07,1445
09:32,62.77,419.74,7.52,1406
09:33,72.85,413.39,7.86,1422
09:34,66.61,418.34,8.81,1419
09:35,62.89,412.47,9.01,1407
09:36,76.95,414.58,9.05,1400
09:37,60.75,416.08,8.87,1429
09:38,54.53,417.44,7.92,1438
09:39,67.74,414.47,8.49,1426
09:40,69.24,410.16,8.32,1444
09:41,76.24,418.84,9.58,1463
09:42,65.82,415.51,7.02,1460
09:43,70.34,412.26,8.79,1479
09:44,53.76,412.07,7.59,1443
09:45,73.21,417.79,8.18,1401
09:46,54.6,419.56,9.72,1432
09:47,64.16,415.43,7.48,1493
09:48,53.48,418.82,7.4,1444
09:49,58.84,417.03,7.59,1419
09:50,70.81,414.05,7.39,1443
09:51,68.87,419.78,8.53,1477
09:52,72.37,410.7,7.2,1423
09:53,68.51,410.37,7.22,1412
09:54,71.51,413.01,7.26,1417
09:55,66.64,418.54,7.82,1491
09:56,51.08,411.63,9.1,1456
09:57,54.88,418.56,8.69,1451
09:58,62.37,418.72,8.88,1424
09:59,52.63,419.82,9.93,1468
10:00,70.46,410.03,7.02,1443
10:01,51.85,410.24,7.88,1479
10:02,64.26,414.93,7.84,1476
10:03,75.81,410.19,9.49,1452
10:04,55.33,412.8,9.69,1420
10:05,75.45,411.54,8.86,1401
10:06,67.73,412.93,9.24,1497
10:07,79.16,412.95,9.92,1475
10:08,58.41,415.43,7.32,1449
10:09,66.86,414.65,7.69,1402
10:10,63.21,417.16,8.53,1488
10:11,74.72,410.49,7.67,1408
10:12,73.84,414.71,8.57,1439
10:13,76.56,415.32,7.53,1436
10:14,73.99,416.28,9.34,1462
10:15,51.73,414.72,9.84,1449
10:16,59.85,415.39,9.71,1447
10:17,70.71,413.34,8.06,1429
10:18,66.73,416.26,9.95,1468
10:19,53.72,410.99,7.92,1442
10:20,75.0,416.37,9.62,1403
10:21,75.41,418.31,9.6,1434
10:22,62.54,418.01,9.53,1404
10:23,59.57,418.95,7.73,1416
10:24,60.27,419.6,9.1,1465
10:25,79.08,412.1,9.15,1442
10:26,60.06,411.79,9.32,1422
10:27,64.39,414.87,7.22,1408
10:28,70.43,418.65,7.36,1486
10:29,52.16,413.56,8.24,1481
10:30,74.94,413.06,8.12,1500
10:31,70.24,416.9,9.52,1446
10:32,77.26,416.77,8.71,1432
10:33,78.22,412.9,8.49,1488
10:34,79.7,416.79,9.48,1413
10:35,67.9,413.82,8.64,1439
10:36,67.23,413.61,9.81,1460
10:37,57.28,412.39,9.57,1493
10:38,62.98,410.14,9.98,1472
10:39,62.94,414.2,9.44,1403
